doc_id,lang,year,word_count,text,label,source
39122,en,2015,229,"ABSTRACT

This study, entitled *Noun Phrases in the Journal Article Beyond Film: Exploring the Content of Movie* by John Scacco, aims to identify and classify various types of noun phrases, as well as to analyze their internal functions within the text. Employing a descriptive research methodology, the data comprising noun phrases were extracted from the four-page article by John Scacco. Subsequently, the internal functions of these noun phrases were examined based on the theoretical framework proposed by Aarts and Aarts (1982). 

The findings reveal that a total of 90 noun phrases occur within the article. These noun phrases function in three primary roles: head, determiner, and modifier. Among these, the head function is the most prevalent, with 65 occurrences. Determiners appear 22 times, which include 12 pre-determiners, 5 central determiners, and 3 post-determiners. Modifiers account for 9 instances, comprising 3 pre-modifiers and 6 post-modifiers, while discontinuous modifiers were absent in the data. Furthermore, the study categorizes internal noun phrase functions into pre-modifier, post-modifier, and discontinuous modifier types. Specifically, pre-modifiers identified include adjective phrases (1 occurrence), noun phrases (1 occurrence), and classifying genitives (2 occurrences). Post-modifiers are realized through prepositional phrases (1 occurrence), finite clauses (2 occurrences), and infinitive clauses (1 occurrence). Notably, neither adjective phrases nor adverb phrases were observed as modifiers in this analysis.

KEYWORDS: Internal Function, Noun Phrase, Beyond Film: Exploring the Content of Movie, John Scacco",1,gpt-4.1-mini
38557,en,2018,248,"One of the efforts made in national development is the implementation of autonomy area. With regional autonomy, an autonomous region must be able to take care of and arrange the financing of the area itself. In order to implement the sector policy which plays an important role in regional financing is local revenue. Original regional income that sourced from tax revenue, levies and other legitimate regional revenues. Local Tax is one source of local revenue potentials that can be developed throught local tax revenues. Morotai Island Regency is one of autonomous district that has large potential resources, one of which is non-metallic minerals and rocks tax, but have not been managed effectively. The purpose of this study is to analyze whether the collection system, payment, recording and reporting of Non Mettalic mineral and Rocks tax already in accordance with Undang-Undang No 28 Tahun 2009 and Peraturan Pemerintah Nomor 55 Tahun 2016. The analytical method used is descriptive method. Based on the results of the study, it can be concluded that collection system, payment, recording and reporting of Non Mettalic mineral and Rocks tax is already appropriate with Undang-Undang No 28 Tahun 2009 and Peraturan Pemerintah Nomor 55 Tahun 2016 but in BPKAD still not a Standar Operation Procedur (SOP) for tax revenue. Internal Control for Non Metallic Mineral and Rocks tax using analysis COSO are sufficient only to needan increase in the risk assessment component.Keywords: Non Mettalic Mineral and Rocks Tax, Collections System, Payment, Recording, Reporting, Internal Control",0,jurnal unsrat
43790,en,2015,236,"This study aims to examine the extent to which the leadership of the village head influences the enhancement of public awareness regarding the payment of land and building taxes in Kaayuran Village, South District, within Langowan District, Minahasa. Specifically, the research seeks to analyze the impact of the village head's leadership on increasing tax payment awareness among the local community.

Employing a quantitative research design, the study utilizes descriptive analysis based on data collected through questionnaires distributed to 53 respondents. The data collection was complemented by observational techniques. The analysis involved frequency distribution tables, product-moment correlation, and simple linear regression methods.

The results indicate that respondents' perceptions of the village head's leadership fall predominantly within the class interval of 22–25, with a frequency of 25 respondents (47.2%), categorizing the leadership variable (X) as ""high."" Similarly, public awareness regarding payment of land and building taxes (Y) falls within the same class interval, with 23 respondents (43.4%) indicating a ""high"" level of awareness.

Consequently, the findings suggest that the leadership of the village head in Kaayuran Village, South District, Langowan, exerts a significant positive influence on public awareness concerning property tax payment. The village head's application of a transformational leadership style appears to be particularly effective in fostering greater tax payment awareness among residents. This study underscores the critical role of leadership in promoting civic compliance within rural settings.

Keywords: village head leadership, public awareness, property tax payment",1,gpt-4.1-mini
42155,en,2015,301,"ABSTRACT The research aims to determine the population and attacks Cnaphalocrocis medinalis on paddy rice vegetative phase in District East Dumoga, Bolaang Mongondow. Results are expected to be used as consideration in the preparation of pest control strategies C. medinalis on rice crops in the future. Research using survey method in several centers of rice cultivation in the district of East Dumoga Bolaang Mongondow, then set the 3 villages as research locations or as a sampling. Location criteria based on the presence of the rice research under the age of one week. Sampling using Method Diagonal slices and set up five sub-plot. Observations population conducted by randomly selecting ten clump of rice plants in each sub-plot. C. medinalis larvae contained in the leaf roll is taken, and then collected in a bottle containing 70% alcohol. Samples are labeled according to location and time of uptake, later identified in the Laboratory of Entomology and Pest Plants, Faculty of Agriculture, University of Sam Ratulangi. Observations percentage of attacks carried out by observing each of the 200 plants per sub-plot. Clumps were attacked recorded and calculated to determine the percentage of C. medinalis attack. Sampling was performed four times at intervals of two weeks. The results showed that the population of pests C. medinalis varies at different locations and the highest research found in two locations in the village Dumoga which reached an average of 15.33 tail, then in the village Dumoga Three reached an average of 13.66 tail and in the village of Dumoga Four reached an average of 5.33 birds. Observations highest percentage of attacks was found in the village of Dumoga Two sample sites, reaching 10.54%, then the village of Three Dumoga 9.95% and the lowest is Village Dumoga Four reached 1.53%. Keywords : Cnaphalocrosis medinalis, percentage of attacks and populations",0,jurnal unsrat
41543,en,2014,187,"Interest in becoming a civil servant has persisted among the Indonesian population for several years. The number of civil servants in Indonesia exceeds 4 million, surpassing the approximately 3 million entrepreneurs. The appeal of civil service is largely attributed to the benefits and retirement security it offers. This perspective often leads to the assumption that civil servants' motivation is primarily driven by material incentives. This study aims to examine the impact of intrinsic motivation for public service, originating from individual factors such as job stress, organizational factors including job rotation, and environmental factors represented by feedback. Employing a quantitative approach, the research utilizes multiple linear regression analysis. The population comprises civil servants at the Service Office of State Property and Auction (KPKNL) in Manado, with a sample of 37 respondents. Findings reveal that job stress, job rotation, and feedback significantly affect public service motivation both simultaneously and individually within the studied office. Consequently, it is recommended that organizations take into account the interests of civil servants during decision-making processes, while civil servants themselves should effectively manage their time to optimize work performance.  
Keywords: stress, rotation, feedback, motivation",1,gpt-4.1-mini
43835,en,2017,216,"Abstract:  
Tourism development is perceived and experienced by local communities primarily through visual observation; however, opinions regarding its benefits or drawbacks vary among individuals due to differing perspectives. This study aims to examine public perceptions of tourism development on Lembeh Island, specifically within the South Lembeh Subdistrict of Bitung City. Employing a descriptive qualitative research approach, the study analyzes data derived from observations, in-depth interviews, and documentation to explore community attitudes towards tourism development in the region. Tourism development is conceptualized as an initiative aimed at enhancing societal welfare by leveraging tourism potentials while simultaneously preserving cultural heritage through the improvement of tourism products and services. Moreover, such development necessitates a focus on protecting cultural assets that are closely tied to both local residents and visitors. The findings indicate that public perception of tourism development in the South Lembeh Subdistrict of Bitung City is generally unfavorable, as reflected by limited community absorption, comprehension, and positive evaluation of the tourism initiatives. In conclusion, the current state of tourism development management on Lembeh Island is inadequate and requires enhanced governmental intervention. It is therefore recommended that authorities implement more effective management strategies and undertake immediate efforts to rehabilitate tourist sites, alongside initiatives that foster environmental cleanliness benefiting both visitors and the local population.

Keywords: Public Perception, Tourism Development",1,gpt-4.1-mini
34672,en,2021,325,"MACROSCOPIC TEST OF FRESH SEMEN IN GOAT BREEDS OF ETTAWAH, BOER AND SAANEN AT LEMBANG ARTIFICIAL INSEMINATION CENTER. Research aim to evaluate the macroscopic quality of fresh semen in goat breeds of Ettawah, Boer and Saanen at Lembang Artificial Insemination Center. Direct observation was done to obtain primer data. Secondary data were found as additional data supporting primer data. Variables included in observation were involving semen volume, ejaculates, color, consistence, pH and smell. Semen qualities of three breed groups collected on three sequent months were analyzed by t-test method. Results showed that semen qualities for ejaculates from three breed groups of Ettawah, Boer and Saanen collected on different months of September, October and November were not significantly different with the averages of 2.47 ml, 2.64 ml and 2.70 ml respectively. Semen volume from three breed groups of Ettawah, Boer and Saanen collected on those different months were also not significantly different with the averages of significantly different with the averages of 2,30 2,64 and 2,60 mL, respectively. The percentages of color of fresh semen from Ettawah, Boer and Saanen collected on those different months were indicating cream of semen collected on September, October in Ettawah Grade, Boer and Saanen. Fresh semen of these breeds was indicating yellow color collected on November, but it was showing normal condition. Fresh semen of these breeds collected on those months were totally indicating thick consistency. However, pH of fresh semen in all three breeds of goat collected on September and October were significantly different with those collected on November. The pH of fresh semen in these breeds collected on September and October were not significantly different. Values of pH in these breeds collected on September, October and November were 6.63, 6.65 and 6.70, respectively. These values were ranging in normal condition. The smell of fresh semen in these breeds collected on those series of months was indicating specific rancid smell.Key words: Fresh semen quality, goat breed, semen collection period",0,jurnal unsrat
38149,en,2022,211,"ABSTRACT  
Accounting information systems involved in fixed asset procurement are susceptible to various security vulnerabilities that may disrupt system functionality. The implementation of security protocols within these systems serves to safeguard fixed asset procurement processes from potential operational, equipment-related, and data-associated threats. This study seeks to investigate the security measures of the accounting information system, specifically those reinforced by internal controls, and to assess how these measures protect the system against threats and risks in the context of PT. Bank SulutGo's head office. Additionally, the findings are compared with established theoretical frameworks. Employing a descriptive qualitative research design, this study analyzes relevant data to evaluate the effectiveness of existing security controls. The results reveal that, overall, the accounting information system security concerning fixed asset procurement at PT. Bank SulutGo’s head office is reasonably sufficient, as evidenced by control activities consistent with theoretical expectations. Nonetheless, deficiencies were identified during data processing, particularly in internal control mechanisms. Specifically, the absence of a backup archive undermines the ability of internal controls to fully ensure the security of the accounting information system in this context. Consequently, the establishment of a backup archive is recommended to enhance the effectiveness of internal control activities and thereby optimize the security framework governing fixed asset procurement within the organization.",1,gpt-4.1-mini
34509,en,2018,231,"APPLICATION OF SCIENCE AND TECHNOLOGY FOR CATTLE BREEDING GROUP IN TUMALUNTUNG VILLAGE KAUDITAN SUB DISTRICT NORTH MINAHASA. Cattle's breeding in Indonesia is generally still done traditionally, which the cattle are allowed to feed themselves, while the numbers of grass / forage become less and lower in nutritional value. This will affect on cattle productivity adversely. To overcome this, it is necessary to peform of a grass silage preservation and supplemental feeding using an urea-sugar palm-block (UGB), so the feed remains available all the time and the nutritional value becomes better. Tumaluntung is a village in KauditanSubdistrict of North Minahasa Regency, which produces brown sugar as its main crop. In this village there are several groups of cattle bereeders, among them group Mateluntung I and Mateluntung II.Pre-survey showed that the problems faced by the cattle breeders in this village were lack of knowledge by group members to raise cattle, lack of knowledge to provide qualified of forage sustainability, lack of knowledge about making silage and UGB. Therefore, we had done an empowerment cattle breeder groups to increase their knowledge, skills and their income. Method was carried out through counselling and training. Members of the group responded well to this application of science and technology, this can be seen from the availability of elephant grass and dwarf grass. Other products produced were silage and UGB. Keywords : Group of breeders, cattle, silage, UGB",0,jurnal unsrat
37253,en,2021,227,"Article 1, point 1 of Law Number 39 of 2009 concerning Special Economic Zones (KEK) defines KEK as territorially bounded areas within the jurisdiction of the Unitary State of the Republic of Indonesia, designated to perform economic functions and to receive specific facilities. In recent years, the Indonesian government has implemented policies aimed at enhancing investment, accelerating development—particularly outside the island of Java—and improving economic competitiveness through the establishment of Special Economic Zones (KEK), Industrial Estates (KI), and National Tourism Strategic Areas (KSPN). The legal framework underpinning the establishment of KEK includes Law Number 39 of 2009 on Special Economic Zones, Government Regulation Number 96 of 2015 regarding Facilities in KEK, and the Regulation of the Minister of Finance Number 104/PMK.010/2016 pertaining to tax, customs, and excise treatments in KEK. A prerequisite for a region to administer a special economic zone is the formation of a development and management enterprise. Accordingly, in 2016, the local government issued Governor Decree Number 6 of 2016 of North Sulawesi Province to establish PT. Pembangunan Sulut Hebat, a Regional-Owned Enterprise designated to manage the Bitung Special Economic Zone. As of 2019, PT Pembangunan Sulut Hebat manages only 92 hectares of land—still under the authority of the North Sulawesi Provincial Government—out of the total 441 hectares designated within the Bitung SEZ.

Keywords: Policy Implementation, Special Economic Zones (KEK), Bitung City, Economic Development.",1,gpt-4.1-mini
43764,en,2021,260,"East Likupang District is designated as a Special Economic Zone (SEZ) for Tourism according to Government Regulation Number 84 of 2019 concerning the Likupang Special Economic Zone. However, the problem is that the citizen does not actively participate in the development process. The purpose of this study is to identify citizen participation and to analyze the relationship between the factors that influence citizen participation in the Tourism Special Economic Zone (SEZ) in East Likupang District. The analytical method used is the likert scale analysis and the chi square test. Likert scale analysis with manual calculations uses a formula to measure the opinion of each respondent about citizen participation in the development stage and the forms of participation given. Meanwhile, the chi square test is used to analyze the relationship between the factors that influence citizen participation with the help of SPSS. The results showed that the citizen was involved in the development stages from planning, implementation, monitoring to evaluation. However, the participation given is still not good in the aspects of involvement in meetings, giving ideas, energy, expertise and materials. In the development stage, citizen participation is influenced by external factors in the form of government and community groups but is not influenced by community leaders and internal factors. Meanwhile, forms of citizen participation are influenced by external factors in the form of government, community groups and community leaders as well as internal factors such as age and marital status but not influenced by gender, education level and type of work Keyword: Citizen Participation; Tourism SEZ; Likert Scale; Chi Square",0,jurnal unsrat
37446,en,2022,240,"The clove stem borer, Hexamitodera semivelutina Hell., constitutes a significant phytophagous pest affecting clove plants in North Sulawesi. This study aimed to evaluate the prevalence and extent of damage caused by H. semivelutina on clove plants across different altitudinal zones within Minahasa Regency. Employing a survey methodology, observations were conducted at three altitude intervals above sea level: 0–300 meters, 301–600 meters, and 601–900 meters. The primary variables assessed included the percentage of infestation by H. semivelutina and the degree of damage to clove stems, quantified through the enumeration of active and inactive boreholes. Results indicated that in Koha Village (0–300 m asl), infestation rates ranged from 73.30% to 93.30%, with a mean value of 83.30%. In Agotey Village (301–500 m asl), infestation varied between 56.60% and 100.00%, averaging 78.30%, whereas Eris Village (501–900 m asl) exhibited infestation levels from 83.30% to 100.00%, with a mean of 89.30%. Correspondingly, the number of active burrows in Koha Village ranged from 34 to 46 (mean 38.25), and inactive burrows numbered between 40 and 55 (mean 47.25). In Agotey Village, active burrows ranged from 25 to 49 (mean 35.00), while inactive burrows ranged from 34 to 57 (mean 45.75). In Eris Village, active burrows ranged from 30 to 49 (mean 36.25), with inactive burrows between 36 and 56 (mean 43.50). These findings underscore the influence of altitude on the infestation intensity and consequent damage caused by H. semivelutina in clove plantations within the region.",1,gpt-4.1-mini
40782,en,2021,186,"Since the onset of the COVID-19 pandemic, various activities have been significantly impacted due to government-imposed regulations mandating that individuals remain at home. Consequently, people have predominantly chosen to stay indoors rather than engage in outdoor activities, resulting in increased time spent on smartphones and internet browsing. In Indonesia, internet usage experienced a substantial rise during this period. Survey findings indicate an overall increase in public expenditure on internet services, with YouTube emerging as the most widely utilized platform compared to other social media channels. This trend presents a strategic opportunity for beauty vloggers, as the extended time spent on social media has amplified their influence in attracting consumer attention toward cosmetic products. The objective of this study is to examine the effect of beauty vloggers' credibility and attractiveness on consumers’ purchasing decisions regarding beauty products in Manado. Employing a quantitative research design, the study utilizes Multiple Linear Regression (MLR) analysis as the primary analytical method. Data was collected via questionnaires distributed to a sample of 100 Generation Z respondents who regularly view beauty vloggers’ content focused on face masks.  
Keywords: purchase decision, multiple regression analysis",1,gpt-4.1-mini
43333,en,2018,231,"The organizational culture in Molompar Dua Village is called Mapalus. Culture mapalus inMolompar Dua Village one of which is mapalus house construction. Which where consisting of thirtymembers each member of the mapalus of house building must include building materials and labor. Themethod used is descriptive with qualitative approach. The informants in this study include the Village Headof Molompar Dua, Mapalus Board of House Construction, Member Mapalus House Construction, HostReceiver. Data collection techniques used in the form of interviews, observation and documentation. Dataanalysis is done by data collection, data reduction, data presentation, and conclusionThe results showed that the application of family values must always exist in maintaining togethernessin the mapalus of house construction, the implementation of deliberation and consensus must always putforward the common interest to accept any opinion and the results of the decision can not be disputed. theimplementation of deliberation and consensus in the chairman's house and can be in the guard hall.Cooperation is needed to achieve the goal of building the home mapalus. Unity and unity are important inthe developmental mapalus of the house because with the unity and unity all members can work together, tobuild and complete the homes of the recipient members of the housing mapalus.Suggestion given in this research is if always maintain the value of kinship, deliberation and consensus,cooperation, and unity mapalus development of house to reach organizational goals.Keywords: Organizational Culture, Community, Mapalus, House Construction",0,jurnal unsrat
34219,en,2011,379,"ABSTRACTMongan et al., 2011. Production and fractionation of liquid smoke from corn cob to inhibit lipid peroxidation oflaying fish (Decapterus russelli).Corncob is a cellulose material and can be made to liquid smoke by pyrolysis. Liquid smoke from pyrolysis canbe purified using adsorbent. Chitin is an adsorbent produced by crustacea shell. Liquid smoke purified by chitincan act as antimicroba and antioxidant. Layang fish is very abundantly in Gorontalo Province, so preservativetechniques were needed to prevent lipids peroxidation in fish. The aims of this research was to determineantioxidative activity of liquid smoke from corncop to prevent lipids peroxidation on layang fish.This research using laboratory experiment methods to analyze total phenolic content, free radical scavengingactivity, total antioxidant and lipids peroxidation on layang fish by spectrophotometer UV-vis. This researchusing complete random design (rancangan acak lengkap, RAL), thus obtained data were analyzed usingstatistic. Significant difference between groups were analyzed using ANOVA with p<0,05. If there is significantdifference between groups, data were analyzed using Duncan's multiple range test (DMRT).The results showed that liquid smoke can be produced using corncop by pyrolysis is 31,7 %. Fractioned liquidsmoke using chitin obtained 4 fractions were fraction I, II, III and IV. Liquid smoke and fractioned liquid smokecontain total phenolic content are 280, 273, 280, 286 and 301 mg/kg gallic acid, respectively. Free radicalscavenging activity from liquid smoke and fractioned liquid smoke are 87,39, 86,08, 89,29, 89,90 and 93,73%,respectively. Although, total antioxidant from liquid smoke and fractioned liquid smoke are 59, 35, 51,32, 51,57,52,74 and 53,58 ppm, respectively. Fraction IV of liquid smoke fractioned with chitin was used in antioxidativeactivity of laying fish test. Fraction IV with concentration 25% can inhibit lipid peroxidation on fresh layang fishby 19 mikromolar for two days. Although layang fish without liquid smoke shows high lipid peroxidation by 24,96mikromolar. Fraction IV with concentration 25% can inhibit lipid peroxidation on layang fish by 18,28 mikromolarfor two days. Antioxidative activity from liquid smoke caused by it phenolics compound that act as antioxidant.As conclusions of this research, liquid smoke can be produced from corncob and fractioned with chitin. Liquidsmoke contain phenolics and act as antioxidant. Liquid smoke can inhibit lipids peroxidation in layang fish. Thisresearch suggested that liquid smoke can be used to inhibit lipid peroxidation on layang fish..Keywords : liquid smoke, corn cob, peroxidation, layang fish",0,jurnal unsrat
43334,en,2018,214,"Abstract: Board Unity Nation Politik and Protection of Talaud Islands Regency in the management of regionalfinance is needed transparency (transparency) to the community. Local governments in their duties andfunctions must ruun a good government, especially in terms of financial management. Through transparency,local financial management can be done effectively and efficiently, both administratively and also from theavailability and accessibility of documents, clarity and completeness of imformation, process openness, andregulatory framework. As transparency is one form of government accountability to the community, efforts toimfrove the management of financial management is also one of the fundamental aspects for the realization ofgood governance for the community is openness, involvement and ease of access for the community to theprocess of governance. The purpose of this research is to know the transparency of regional financialmanagement in Badan Unity Nation politics and Protection of Talaud Islands regency community. Thisresearch is a descriptive research with qualitative approach.Data analysis techniques used were observation,interview, documentation.Based on the research results obtained can be seen that the lack of informationdisclosure in financial management that causes weakness of financial management transparency.Therefore itis expected that the government this cease National Unity Board of politics and profection of the communitymore open in accounting for regional finances for the administration of government can run well.Keywords: Transparency of Regional Financial Management",0,jurnal unsrat
